,Show Number,Corps,Date,Location,Performance Slot,General Effect 1,General Effect 2,General Effect Total,Visual Proficiency,Visual Analysis,Color Guard,Visual Total,Music Brass,Music Analysis,Music Percussion,Music Total,Sub Total,Penalty,Total Score,Competition Latitude,Competition Longitude,Days from Season Start
107,1.0,Colts,1 days 00:00:00,"LaCrosse, Wisconsin",0.0,-0.3000000000000007,0.9000000000000004,0.6000000000000014,0.0,0.29999999999999893,-0.10000000000000142,0.10000000000000142,0.09999999999999964,0.20000000000000107,-0.09999999999999964,0.10000000000000142,0.8000000000000114,0.0,0.8000000000000114,1.0706598499999984,-2.3748384041795845,1.0
108,2.0,Blue Stars,1 days 00:00:00,"LaCrosse, Wisconsin",1.5,0.09999999999999964,0.25,0.34999999999999964,0.14999999999999947,0.20000000000000018,0.15000000000000036,0.25,0.20000000000000018,0.0,0.05000000000000071,0.125,0.7250000000000014,0.0,0.7250000000000014,0.8164537749999994,-1.0050701520897931,1.0
109,1.0,Madison Scouts,1 days 00:00:00,"LaCrosse, Wisconsin",-4.0,0.3000000000000007,0.0,0.3000000000000007,0.3000000000000007,0.10000000000000142,0.3000000000000007,0.34999999999999787,0.10000000000000142,0.1999999999999993,-0.3000000000000007,0.0,0.6500000000000057,0.0,0.6500000000000057,1.0706598499999984,-2.3748384041795845,1.0
110,2.0,River City Rhythm,1 days 00:00:00,"LaCrosse, Wisconsin",0.0,-0.04999999999999982,-0.15000000000000036,-0.1999999999999993,0.25,-0.15000000000000036,0.5,0.3000000000000007,0.15000000000000036,-0.14999999999999947,0.3000000000000007,0.15000000000000036,0.25,0.0,0.25,0.8164537749999994,-1.0050701520897931,1.0
111,4.0,Blue Devils,1 days 00:00:00,"Sacramento, California",-1.0,-0.10000000000000142,0.1999999999999993,0.10000000000000142,0.1999999999999993,0.6000000000000014,0.3000000000000007,0.5500000000000007,0.3000000000000007,-0.3000000000000007,0.1999999999999993,0.09999999999999787,0.75,0.0,0.75,1.1535936000000007,0.6763495000000006,1.0
112,4.0,Mandarins,1 days 00:00:00,"Sacramento, California",1.0,0.5000000000000018,0.8000000000000007,1.3000000000000007,0.40000000000000036,0.6000000000000014,-0.09999999999999964,0.45000000000000284,0.3000000000000007,-0.3000000000000007,0.09999999999999964,0.05000000000000071,1.8000000000000114,0.0,1.8000000000000114,1.1535936000000007,0.6763495000000006,1.0
113,4.0,Santa Clara Vanguard,1 days 00:00:00,"Sacramento, California",0.0,0.3000000000000007,0.7000000000000011,1.0,0.9000000000000004,0.3000000000000007,-0.09999999999999964,0.5500000000000007,0.29999999999999893,-0.6999999999999993,0.10000000000000142,-0.14999999999999858,1.4000000000000057,0.0,1.4000000000000057,1.1535936000000007,0.6763495000000006,1.0
114,4.0,Pacific Crest,1 days 00:00:00,"Sacramento, California",-1.0,-0.5999999999999996,1.1000000000000014,0.5,-0.7999999999999989,1.0,-0.20000000000000107,0.0,0.1999999999999993,-0.5999999999999996,0.09999999999999964,-0.15000000000000213,0.3499999999999943,0.0,0.3499999999999943,1.1535936000000007,0.6763495000000006,1.0
115,4.0,The Academy,1 days 00:00:00,"Sacramento, California",1.0,-0.6999999999999993,1.4000000000000004,0.6999999999999993,0.09999999999999964,1.5,0.0,0.8000000000000007,0.1999999999999993,-0.9000000000000004,-0.09999999999999964,-0.3999999999999986,1.0999999999999943,0.0,1.0999999999999943,1.1535936000000007,0.6763495000000006,1.0
116,4.0,Blue Devils B,1 days 00:00:00,"Sacramento, California",0.0,1.0999999999999996,0.7999999999999989,1.9000000000000021,0.5999999999999996,-0.20000000000000107,0.40000000000000036,0.40000000000000213,-1.1999999999999993,0.6999999999999993,0.09999999999999964,-0.1999999999999993,2.0999999999999943,0.0,2.0999999999999943,1.1535936000000007,0.6763495000000006,1.0
117,4.0,Gold,1 days 00:00:00,"Sacramento, California",0.0,1.6000000000000014,0.40000000000000036,2.0,0.29999999999999893,-0.5,0.0,-0.09999999999999787,-0.8999999999999986,0.5,0.1999999999999993,-0.10000000000000142,1.7999999999999972,0.0,1.7999999999999972,1.1535936000000007,0.6763495000000006,1.0
118,4.0,Impulse,1 days 00:00:00,"Sacramento, California",0.0,1.5999999999999996,-0.40000000000000036,1.2000000000000028,-0.3000000000000007,-0.5,0.0,-0.40000000000000213,-0.7999999999999989,0.7000000000000011,-0.09999999999999964,-0.09999999999999787,0.7000000000000028,0.0,0.7000000000000028,1.1535936000000007,0.6763495000000006,1.0
119,4.0,Golden Empire,1 days 00:00:00,"Sacramento, California",0.0,0.8000000000000007,-0.40000000000000036,0.3999999999999986,0.0,0.40000000000000036,0.40000000000000036,0.3999999999999986,-0.3999999999999986,1.0,0.0,0.3000000000000007,1.1000000000000014,0.0,1.1000000000000014,1.1535936000000007,0.6763495000000006,1.0
120,4.0,Blue Devils C,1 days 00:00:00,"Sacramento, California",-4.0,-0.1999999999999993,-0.29999999999999893,-0.5,-0.6999999999999993,0.20000000000000107,0.5999999999999996,0.05000000000000071,0.0,0.3999999999999986,0.3999999999999986,0.40000000000000036,-0.04999999999999716,0.0,-0.04999999999999716,1.1535936000000007,0.6763495000000006,1.0
121,2.0,Troopers,1 days 00:00:00,"Kennewick, Washington",1.0,0.20000000000000018,0.09999999999999964,0.3000000000000007,0.20000000000000018,0.6500000000000004,0.34999999999999964,0.6000000000000014,0.4500000000000002,0.10000000000000053,0.5,0.5250000000000004,1.4249999999999972,0.0,1.4249999999999972,-0.6975627499999995,1.605071500000001,1.0
122,2.0,Blue Knights,1 days 00:00:00,"Kennewick, Washington",0.0,0.35000000000000053,-0.09999999999999964,0.25,0.09999999999999964,0.34999999999999964,0.25,0.34999999999999964,0.2999999999999998,0.34999999999999964,0.3000000000000007,0.47499999999999964,1.0750000000000028,0.0,1.0750000000000028,-0.6975627499999995,1.605071500000001,1.0
123,2.0,Seattle Cascades,1 days 00:00:00,"Kennewick, Washington",-1.0,0.25,0.10000000000000053,0.34999999999999964,0.35000000000000053,0.5,-0.04999999999999982,0.3999999999999986,0.1999999999999993,-0.10000000000000053,-0.10000000000000053,0.0,0.75,0.0,0.75,-0.6975627499999995,1.605071500000001,1.0
124,2.0,Columbians,1 days 00:00:00,"Kennewick, Washington",0.0,-0.09999999999999964,-0.34999999999999964,-0.45000000000000107,0.1999999999999993,0.6000000000000005,-0.15000000000000036,0.32500000000000107,0.20000000000000018,-0.34999999999999964,0.04999999999999982,-0.05000000000000071,-0.17500000000000426,0.0,-0.17500000000000426,-0.6975627499999995,1.605071500000001,1.0
125,1.8333333333333333,Carolina Crown,1 days 00:00:00,"Sevierville, Tennessee",0.16666666666666666,0.13333333333333344,0.19999999999999987,0.33333333333333276,0.18333333333333326,0.2333333333333334,0.16666666666666666,0.2916666666666667,0.06666666666666643,0.36666666666666653,0.14999999999999977,0.2916666666666667,0.9166666666666666,0.0,0.9166666666666666,-0.5819855166666675,0.12468399999999964,1.0
126,,Crossmen,,"Sevierville, Tennessee",,,,,,,,,,,,,,,,,,
127,,Spirit of Atlanta,,"Sevierville, Tennessee",,,,,,,,,,,,,,,,,,
128,,Music City,,"Sevierville, Tennessee",,,,,,,,,,,,,,,,,,
129,1.6666666666666667,Spartans,1 days 00:00:00,"Sevierville, Tennessee",-0.1111111111111111,0.12222222222222218,0.12222222222222218,0.24444444444444435,0.3888888888888889,-0.022222222222222143,0.06666666666666662,0.2166666666666666,0.2222222222222222,0.1111111111111111,0.1555555555555554,0.24444444444444435,0.7055555555555557,0.0,0.7055555555555557,-0.6058050833333337,-1.1642422321462442,1.0
130,1.5,Mandarins,1 days 00:00:00,"Boise, Idaho",-1.0,0.09999999999999964,0.05000000000000071,0.14999999999999858,0.25,0.25,0.5,0.5,0.2999999999999998,0.20000000000000018,-0.20000000000000018,0.15000000000000036,0.7999999999999972,0.0,0.7999999999999972,2.517777849999998,2.646504499999999,1.0
131,2.0,Troopers,1 days 00:00:00,"Boise, Idaho",-1.0,0.0,0.09999999999999964,0.09999999999999787,-0.20000000000000107,-0.20000000000000107,-0.09999999999999964,-0.25,0.3000000000000007,0.09999999999999964,-1.1999999999999993,-0.40000000000000213,-0.5499999999999972,0.0,-0.5499999999999972,-2.5920903000000024,2.919032999999999,1.0
132,2.0,Blue Knights,1 days 00:00:00,"Boise, Idaho",-1.0,0.0,0.09999999999999964,0.10000000000000142,-0.5999999999999996,0.3000000000000007,-1.0,-0.6499999999999986,0.40000000000000036,0.10000000000000142,-1.200000000000001,-0.3500000000000014,-0.9000000000000057,0.0,-0.9000000000000057,-2.5920903000000024,2.919032999999999,1.0
133,2.0,Seattle Cascades,1 days 00:00:00,"Boise, Idaho",3.0,0.29999999999999893,0.0,0.3000000000000007,-1.1000000000000014,1.0,2.5,1.2000000000000028,0.40000000000000036,0.20000000000000107,-0.29999999999999893,0.14999999999999858,1.6499999999999986,0.0,1.6499999999999986,-2.5920903000000024,2.919032999999999,1.0
134,2.5,Phantom Regiment,1 days 00:00:00,"Mankato, Minnesota",0.5,0.25,-0.25,0.0,0.05000000000000071,0.25,0.1999999999999993,0.25,0.10000000000000053,0.09999999999999964,0.05000000000000071,0.125,0.375,0.0,0.375,0.12958212500000243,-1.4476220979102123,1.0
135,2.5,Colts,1 days 00:00:00,"Mankato, Minnesota",-0.5,0.34999999999999964,-0.4500000000000002,-0.09999999999999964,0.09999999999999964,0.20000000000000018,0.20000000000000018,0.25,0.0,0.04999999999999982,-0.04999999999999982,0.0,0.14999999999999858,0.0,0.14999999999999858,0.12958212500000243,-1.4476220979102123,1.0
136,2.5,Madison Scouts,1 days 00:00:00,"Mankato, Minnesota",0.0,0.25,0.05000000000000071,0.3000000000000007,0.15000000000000036,0.34999999999999964,0.15000000000000036,0.32500000000000107,0.14999999999999947,0.20000000000000018,0.20000000000000018,0.27500000000000036,0.8999999999999986,0.0,0.8999999999999986,0.12958212500000243,-1.4476220979102123,1.0
137,2.5,River City Rhythm,1 days 00:00:00,"Mankato, Minnesota",0.5,0.7999999999999998,0.5,1.299999999999999,0.0,0.15000000000000036,0.5999999999999996,0.375,0.25,0.75,0.1999999999999993,0.5999999999999996,2.275000000000002,0.0,2.275000000000002,0.12958212500000243,-1.4476220979102123,1.0
138,2.0,Colt Cadets,1 days 00:00:00,"Mankato, Minnesota",0.0,-0.06666666666666703,0.13333333333333344,0.06666666666666761,0.13333333333333344,-0.033333333333333805,0.2666666666666669,0.18333333333333357,0.36666666666666714,0.033333333333333215,-0.9333333333333336,-0.2666666666666669,-0.01666666666666572,0.0,-0.01666666666666572,0.4432747000000011,-1.756694200000003,1.0
139,1.8,Govenaires,1 days 00:00:00,"Mankato, Minnesota",0.0,0.009999999999999964,0.14000000000000004,0.15,0.039999999999999855,0.05,0.060000000000000143,0.075,0.05,0.05999999999999996,0.05,0.08000000000000007,0.3049999999999997,0.0,0.3049999999999997,0.10887053000000009,-0.4615589200000002,1.0
140,2.0,Boston Crusaders,1 days 00:00:00,"Newnan, Georgia",0.14285714285714285,0.12857142857142836,0.1857142857142858,0.31428571428571417,0.15714285714285683,0.21428571428571427,0.1857142857142858,0.27857142857142897,0.15714285714285708,0.31428571428571445,0.1857142857142858,0.32142857142857145,0.9214285714285718,0.0,0.9214285714285718,-0.8541981428571432,-0.06995975714285814,1.0
141,3.0,Crossmen,1 days 00:00:00,"Newnan, Georgia",-1.0,0.5,0.1999999999999993,0.6999999999999993,0.3000000000000007,0.1999999999999993,0.1999999999999993,0.3500000000000014,0.0,0.0,0.6000000000000014,0.3000000000000007,1.3499999999999943,0.0,1.3499999999999943,-2.4874738999999977,-1.2378223000000048,1.0
142,3.0,Spirit of Atlanta,1 days 00:00:00,"Newnan, Georgia",2.0,0.1999999999999993,0.0,0.1999999999999993,0.09999999999999964,0.09999999999999964,0.10000000000000142,0.15000000000000213,0.5,-0.20000000000000107,1.0,0.6500000000000021,1.0,0.0,1.0,-2.4874738999999977,-1.2378223000000048,1.0
143,3.0,Music City,1 days 00:00:00,"Newnan, Georgia",0.0,0.1999999999999993,0.09999999999999964,0.29999999999999716,-0.10000000000000142,-0.09999999999999964,0.20000000000000107,0.0,0.5,0.09999999999999964,1.4000000000000004,1.0,1.2999999999999972,0.0,1.2999999999999972,-2.4874738999999977,-1.2378223000000048,1.0
144,3.0,Spartans,1 days 00:00:00,"Newnan, Georgia",0.0,0.20000000000000107,0.3000000000000007,0.5,0.09999999999999964,0.09999999999999964,0.7999999999999989,0.5,0.5999999999999996,0.3999999999999986,0.8000000000000007,0.9000000000000021,1.9000000000000057,0.0,1.9000000000000057,-2.4874738999999977,-1.2378223000000048,1.0
145,,Atlanta CV,,"Newnan, Georgia",,,,,,,,,,,,,,,,,,
146,2.0,Blue Devils,1 days 00:00:00,"Ogden, Utah",1.0,0.033333333333333805,0.23333333333333428,0.2666666666666681,0.10000000000000024,-0.16666666666666666,0.16666666666666666,0.049999999999999524,0.20000000000000048,0.20000000000000048,0.2666666666666669,0.3333333333333333,0.6500000000000009,0.0,0.6500000000000009,0.8806480666666658,3.1733507000000003,1.0
147,3.0,Mandarins,1 days 00:00:00,"Ogden, Utah",3.0,-0.5,0.09999999999999787,-0.3999999999999986,0.09999999999999964,-0.6000000000000014,-0.1999999999999993,-0.3500000000000014,-0.3000000000000007,0.40000000000000036,1.200000000000001,0.6499999999999986,-0.09999999999999432,0.0,-0.09999999999999432,-2.3936114999999987,4.227043100000003,1.0
148,2.0,Santa Clara Vanguard,1 days 00:00:00,"Ogden, Utah",0.0,0.16666666666666666,0.06666666666666643,0.2333333333333331,0.06666666666666703,0.06666666666666643,0.3333333333333333,0.2333333333333331,0.06666666666666703,0.2666666666666669,0.16666666666666666,0.25,0.7166666666666686,0.0,0.7166666666666686,0.8806480666666658,3.1733507000000003,1.0
149,3.0,Troopers,1 days 00:00:00,"Ogden, Utah",3.0,0.3000000000000007,0.0,0.3000000000000007,0.5,-0.29999999999999893,-0.3000000000000007,-0.05000000000000071,0.0,0.5999999999999996,1.8000000000000007,1.2000000000000028,1.4500000000000028,0.0,1.4500000000000028,-2.3936114999999987,4.227043100000003,1.0
150,3.0,Blue Knights,1 days 00:00:00,"Ogden, Utah",7.0,0.0,0.09999999999999964,0.09999999999999787,0.40000000000000036,-0.3000000000000007,0.09999999999999964,0.10000000000000142,-0.40000000000000036,0.5,1.9000000000000004,1.0,1.2000000000000028,0.0,1.2000000000000028,-2.3936114999999987,4.227043100000003,1.0
151,2.0,Pacific Crest,1 days 00:00:00,"Ogden, Utah",0.6666666666666666,-0.033333333333333215,0.0,-0.033333333333332625,0.3333333333333333,-0.40000000000000036,0.43333333333333357,0.18333333333333357,-0.19999999999999987,0.16666666666666666,0.13333333333333344,0.05000000000000071,0.20000000000000284,0.0,0.20000000000000284,0.8806480666666658,3.1733507000000003,1.0
152,2.0,The Academy,1 days 00:00:00,"Ogden, Utah",0.0,0.19999999999999987,0.06666666666666643,0.2666666666666669,0.6666666666666666,-0.3333333333333333,0.06666666666666703,0.1999999999999993,0.033333333333333215,0.2333333333333331,0.36666666666666653,0.31666666666666643,0.7833333333333362,0.0,0.7833333333333362,0.8806480666666658,3.1733507000000003,1.0
153,3.0,Seattle Cascades,1 days 00:00:00,"Ogden, Utah",-2.0,-0.5,0.0,-0.5,1.5,-0.5,-1.8000000000000007,-0.40000000000000213,-0.1999999999999993,0.29999999999999893,-0.09999999999999964,0.0,-0.8999999999999986,0.0,-0.8999999999999986,-2.3936114999999987,4.227043100000003,1.0
154,,The Battalion,,"Ogden, Utah",,,,,,,,,,,,,,,,,,
155,1.5,Phantom Regiment,1 days 00:00:00,"Dubuque, Iowa",0.0,0.049999999999998934,0.10000000000000142,0.14999999999999858,0.1999999999999993,0.049999999999998934,0.15000000000000036,0.1999999999999993,0.40000000000000036,0.049999999999998934,0.34999999999999964,0.3999999999999986,0.75,0.0,0.75,-0.8314210000000024,1.667276000000001,1.0
156,1.8,The Cavaliers,1 days 00:00:00,"Dubuque, Iowa",0.2,0.0,0.12000000000000029,0.11999999999999958,-0.019999999999999928,0.08000000000000007,0.0,0.030000000000000426,0.18000000000000008,-0.019999999999999928,-0.07999999999999971,0.039999999999999855,0.18999999999999773,0.0,0.18999999999999773,-0.0666035800000003,-0.3871061200000014,1.0
157,1.5,Colts,1 days 00:00:00,"Dubuque, Iowa",1.0,-0.04999999999999982,0.10000000000000053,0.049999999999998934,0.25,0.0,-0.14999999999999947,0.049999999999998934,0.40000000000000036,0.09999999999999964,0.4499999999999993,0.47499999999999964,0.5749999999999957,0.0,0.5749999999999957,-0.8314210000000024,1.667276000000001,1.0
158,2.0,Blue Stars,1 days 00:00:00,"Dubuque, Iowa",-1.0,0.10000000000000009,0.07500000000000018,0.1750000000000007,0.25000000000000044,0.07499999999999973,0.04999999999999982,0.1875,0.22499999999999964,0.10000000000000009,0.20000000000000018,0.2625000000000002,0.625,0.0,0.625,-0.3509194375,0.10982695104489437,1.0
159,1.5,River City Rhythm,1 days 00:00:00,"Dubuque, Iowa",-0.5,-0.6500000000000004,0.5500000000000007,-0.09999999999999964,0.0,0.5,0.10000000000000053,0.3000000000000007,-0.25,-0.8000000000000007,0.05000000000000071,-0.5,-0.30000000000000426,0.0,-0.30000000000000426,-0.8314210000000024,1.667276000000001,1.0
160,1.5,Colt Cadets,1 days 00:00:00,"Dubuque, Iowa",0.5,-0.09999999999999964,0.0,-0.10000000000000142,-0.04999999999999982,0.05000000000000071,0.09999999999999964,0.049999999999998934,-0.15000000000000036,-0.20000000000000018,0.40000000000000036,0.025000000000000355,-0.02500000000000213,0.0,-0.02500000000000213,-0.8314210000000024,1.667276000000001,1.0
161,1.5,Boston Crusaders,1 days 00:00:00,"Muscle Shoals, Alabama",0.5,0.15000000000000036,0.1999999999999993,0.3500000000000014,-0.049999999999998934,0.20000000000000107,0.14999999999999858,0.14999999999999858,0.25,-0.05000000000000071,-0.05000000000000071,0.09999999999999964,0.5749999999999957,0.0,0.5749999999999957,0.681503750000001,-1.4268020999999962,1.0
162,1.5,Crossmen,1 days 00:00:00,"Muscle Shoals, Alabama",0.0,0.09999999999999964,0.09999999999999964,0.20000000000000107,-0.04999999999999982,0.20000000000000018,0.15000000000000036,0.14999999999999858,0.0,0.40000000000000036,-0.40000000000000036,0.0,0.3500000000000014,0.0,0.3500000000000014,0.681503750000001,-1.4268020999999962,1.0
163,1.5,Spirit of Atlanta,1 days 00:00:00,"Muscle Shoals, Alabama",-0.5,0.10000000000000053,-0.04999999999999982,0.05000000000000071,-0.25,0.04999999999999982,0.14999999999999947,-0.025000000000000355,0.15000000000000036,0.8000000000000007,-0.4500000000000002,0.25,0.2749999999999986,0.0,0.2749999999999986,0.681503750000001,-1.4268020999999962,1.0
164,1.5,Music City,1 days 00:00:00,"Muscle Shoals, Alabama",0.0,0.20000000000000018,0.20000000000000018,0.40000000000000036,-0.14999999999999947,0.15000000000000036,0.20000000000000018,0.09999999999999964,0.25,0.40000000000000036,-0.5999999999999996,0.025000000000000355,0.5249999999999986,0.0,0.5249999999999986,0.681503750000001,-1.4268020999999962,1.0
165,1.5,Spartans,1 days 00:00:00,"Muscle Shoals, Alabama",0.0,0.14999999999999947,-0.04999999999999982,0.09999999999999964,0.0,0.25,0.3000000000000007,0.27500000000000036,0.15000000000000036,-0.04999999999999982,-0.6500000000000004,-0.27500000000000036,0.09999999999999432,0.0,0.09999999999999432,0.681503750000001,-1.4268020999999962,1.0
166,1.5,Troopers,1 days 00:00:00,"Cheyenne, Wyoming",0.0,0.09999999999999964,0.20000000000000018,0.3000000000000007,0.15000000000000036,0.39999999999999947,0.10000000000000053,0.3249999999999993,0.29999999999999893,0.15000000000000036,0.049999999999998934,0.25,0.875,0.0,0.875,-0.04151189999999971,3.5767984499999983,1.0
167,1.5,Pacific Crest,1 days 00:00:00,"Cheyenne, Wyoming",-0.5,0.2999999999999998,0.04999999999999982,0.34999999999999964,0.14999999999999947,0.7000000000000002,0.34999999999999964,0.5999999999999996,0.7000000000000002,0.15000000000000036,0.04999999999999982,0.4499999999999993,1.3999999999999986,0.0,1.3999999999999986,-0.04151189999999971,3.5767984499999983,1.0
168,1.5,The Academy,1 days 00:00:00,"Cheyenne, Wyoming",0.5,0.04999999999999982,-0.04999999999999982,0.0,-0.04999999999999982,0.5499999999999998,0.34999999999999964,0.4250000000000007,-0.4499999999999993,0.4500000000000002,0.0,0.0,0.42499999999999716,0.0,0.42499999999999716,-0.04151189999999971,3.5767984499999983,1.0
169,,Genesis,,"Cheyenne, Wyoming",,,,,,,,,,,,,,,,,,
170,1.5,Seattle Cascades,1 days 00:00:00,"Cheyenne, Wyoming",-0.5,0.10000000000000053,-0.10000000000000053,0.0,-0.5,0.04999999999999982,0.4500000000000002,0.0,-0.15000000000000036,0.0,0.4499999999999993,0.15000000000000036,0.15000000000000213,0.0,0.15000000000000213,-0.04151189999999971,3.5767984499999983,1.0
171,1.5,The Battalion,1 days 00:00:00,"Cheyenne, Wyoming",0.0,0.2999999999999998,0.04999999999999982,0.34999999999999964,-0.20000000000000018,0.5,0.35000000000000053,0.3249999999999993,0.04999999999999982,0.15000000000000036,0.40000000000000036,0.3000000000000007,0.9750000000000014,0.0,0.9750000000000014,-0.04151189999999971,3.5767984499999983,1.0
172,2.0,Blue Devils B,1 days 00:00:00,"Riverside, California",-0.2,0.060000000000000143,0.040000000000000216,0.1,0.35999999999999976,0.08000000000000007,0.36000000000000015,0.4,0.31999999999999995,0.060000000000000143,0.060000000000000143,0.22000000000000028,0.7200000000000017,0.0,0.7200000000000017,-0.9718123000000005,1.0913295599999997,1.0
173,2.0,Gold,1 days 00:00:00,"Riverside, California",0.2,0.039999999999999855,0.019999999999999928,0.05999999999999943,0.38000000000000006,0.1,0.31999999999999995,0.4,0.15999999999999978,0.1,0.1,0.18000000000000044,0.6400000000000006,0.0,0.6400000000000006,-0.9718123000000005,1.0913295599999997,1.0
174,2.0,Impulse,1 days 00:00:00,"Riverside, California",0.2,0.020000000000000285,0.08000000000000007,0.1,0.38000000000000006,0.019999999999999928,0.2800000000000001,0.3400000000000006,0.3,0.05999999999999979,0.1400000000000002,0.25,0.6899999999999992,0.0,0.6899999999999992,-0.9718123000000005,1.0913295599999997,1.0
175,2.0,Golden Empire,1 days 00:00:00,"Riverside, California",-0.4,0.1,0.0,0.1,0.2400000000000002,0.0,0.11999999999999993,0.17999999999999972,0.07999999999999971,-0.019999999999999928,0.1,0.07999999999999971,0.35999999999999943,0.0,0.35999999999999943,-0.9718123000000005,1.0913295599999997,1.0
176,2.3333333333333335,Vessel,1 days 00:00:00,"Riverside, California",0.16666666666666666,0.08333333333333333,0.16666666666666666,0.25,0.11666666666666654,0.15000000000000005,0.11666666666666654,0.19166666666666643,0.11666666666666685,0.05000000000000012,0.2666666666666666,0.21666666666666679,0.6583333333333327,0.0,0.6583333333333327,-0.6175779833333337,1.0221662166666665,1.0
177,,Jersey Surf,,"Clifton, New Jersey",,,,,,,,,,,,,,,,,,
178,1.7142857142857142,Reading Buccaneers,1 days 00:00:00,"Clifton, New Jersey",0.0,0.14285714285714285,0.12857142857142861,0.27142857142857124,0.06428571428571418,0.24285714285714288,0.1642857142857142,0.23571428571428577,0.07142857142857142,0.08571428571428566,0.0999999999999999,0.12857142857142861,0.6357142857142851,0.0,0.6357142857142851,-0.03299703214285695,-0.07715002780830003,1.0
179,1.7142857142857142,Bushwackers Drum Corps,1 days 00:00:00,"Clifton, New Jersey",0.0,0.16428571428571434,0.16428571428571434,0.3285714285714287,0.06428571428571431,0.23571428571428577,0.1785714285714287,0.23928571428571438,0.02857142857142847,0.0928571428571429,0.10714285714285728,0.1142857142857144,0.6821428571428569,0.0,0.6821428571428569,-0.03299703214285695,-0.07715002780830003,1.0
180,1.7142857142857142,Hawthorne Caballeros,1 days 00:00:00,"Clifton, New Jersey",0.14285714285714285,0.08571428571428566,0.10714285714285728,0.1928571428571428,0.07142857142857142,0.2142857142857144,0.12142857142857137,0.20357142857142843,0.07857142857142854,0.07857142857142842,0.14285714285714285,0.1500000000000001,0.5464285714285718,0.0,0.5464285714285718,-0.03299703214285695,-0.07715002780830003,1.0
181,1.7142857142857142,Hurricanes,1 days 00:00:00,"Clifton, New Jersey",-0.14285714285714285,0.16428571428571434,0.10714285714285714,0.27142857142857146,0.15714285714285722,0.1928571428571428,0.17142857142857157,0.26071428571428584,0.07857142857142854,0.08571428571428566,0.14999999999999997,0.15714285714285708,0.6892857142857147,0.0,0.6892857142857147,-0.03299703214285695,-0.07715002780830003,1.0
182,1.7142857142857142,Fusion Core,1 days 00:00:00,"Clifton, New Jersey",0.0,0.16428571428571434,0.1285714285714285,0.292857142857143,-0.04285714285714283,0.15714285714285708,0.13571428571428573,0.125,0.0285714285714286,0.12142857142857137,0.06428571428571431,0.10714285714285714,0.5250000000000006,0.0,0.5250000000000006,-0.03299703214285695,-0.07715002780830003,1.0
183,1.7142857142857142,Sunrisers,1 days 00:00:00,"Clifton, New Jersey",0.0,0.10714285714285714,0.14285714285714285,0.25,0.02857142857142847,0.12142857142857151,0.09285714285714278,0.12142857142857137,0.04285714285714283,0.0071428571428571175,0.04285714285714283,0.046428571428571326,0.4178571428571424,0.0,0.4178571428571424,-0.03299703214285695,-0.07715002780830003,1.0
184,2.0,Blue Devils,1 days 00:00:00,"Fort Collins, Colorado",0.3333333333333333,0.13333333333333286,0.06666666666666643,0.1999999999999981,0.2666666666666669,0.16666666666666666,0.2666666666666669,0.35000000000000026,0.0,0.033333333333333805,-0.10000000000000024,-0.033333333333332625,0.5166666666666657,0.0,0.5166666666666657,-0.2119422000000005,2.2989438666666664,1.0
185,2.0,Santa Clara Vanguard,1 days 00:00:00,"Fort Collins, Colorado",0.0,0.19999999999999987,0.10000000000000024,0.29999999999999954,0.2333333333333331,0.16666666666666727,0.2333333333333331,0.31666666666666643,0.19999999999999987,-0.033333333333333805,0.16666666666666666,0.16666666666666666,0.7833333333333314,0.0,0.7833333333333314,-0.2119422000000005,2.2989438666666664,1.0
186,2.0,Mandarins,1 days 00:00:00,"Fort Collins, Colorado",0.3333333333333333,0.13333333333333286,0.13333333333333405,0.2666666666666657,0.13333333333333286,0.16666666666666666,0.1999999999999993,0.25,-0.033333333333332625,0.10000000000000024,0.10000000000000024,0.08333333333333333,0.5999999999999991,0.0,0.5999999999999991,-0.2119422000000005,2.2989438666666664,1.0
187,3.0,Troopers,1 days 00:00:00,"Fort Collins, Colorado",1.0,0.0,-0.1999999999999993,-0.20000000000000284,-0.09999999999999964,-0.29999999999999893,0.09999999999999964,-0.14999999999999858,-0.1999999999999993,0.0,-0.3999999999999986,-0.3000000000000007,-0.6500000000000057,0.0,-0.6500000000000057,-0.552802800000002,-0.25676529999999786,1.0
188,2.0,Blue Knights,1 days 00:00:00,"Fort Collins, Colorado",0.3333333333333333,-0.13333333333333344,0.2666666666666669,0.13333333333333405,0.06666666666666643,0.06666666666666643,0.3000000000000001,0.2166666666666662,-0.06666666666666643,0.0,-0.3333333333333333,-0.1999999999999993,0.15000000000000094,0.0,0.15000000000000094,-0.2119422000000005,2.2989438666666664,1.0
189,3.0,Pacific Crest,1 days 00:00:00,"Fort Collins, Colorado",2.0,0.5999999999999996,-0.20000000000000107,0.3999999999999986,-0.1999999999999993,-0.3000000000000007,-0.3999999999999986,-0.4499999999999993,-0.5,0.1999999999999993,-0.3999999999999986,-0.3500000000000014,-0.4000000000000057,0.0,-0.4000000000000057,-0.552802800000002,-0.25676529999999786,1.0
190,3.0,The Academy,1 days 00:00:00,"Fort Collins, Colorado",0.0,0.5,0.40000000000000036,0.8999999999999986,0.29999999999999893,-0.29999999999999893,0.5999999999999996,0.3000000000000007,0.5,-0.29999999999999893,-1.0,-0.3999999999999986,0.7999999999999972,0.0,0.7999999999999972,-0.552802800000002,-0.25676529999999786,1.0
